Comment,Designator,Quantity,Footprint,Value,LCSC Part #

"Header 2","ALEXT","1","CONN HEADER VERT 2POS 3.96MM","",""
"Header 3","ANT","1","IPEX Board Conn","","C88374"
"Cap","C1","1","CAPAE7066X54M","47uF 35V","C110229"
"Cap","C2","1","CAPAE7066X54M","47uF 35V","C110229"
"Cap","C3","1","CAPAE7066X54M","47uF 35V","C110229"
"Cap","C4","1","RES0805","10nF","C1710"
"Cap","C5","1","RES 1206","33uF 16V",""
"Cap","C6","1","RES 1206","33uF 16V",""
"Cap","C7","1","RES 1206","33uF 16V",""
"Cap","C8","1","RES 1206","33uF 16V",""
"Cap","C9","1","CAP0805","DNP",""
"Cap","C10","1","CAP0805","DNP",""
"D Schottky","D1","1","SMB","B340B-13-F","C85099"
"D Zener","D2","1","SMB","SMBJ24A","C3018876"
"D Schottky","D3","1","SMB","B340B-13-F","C85099"
"LM2676S-ADJ","IC1","1","DPAK127P1435X464-8N","",""
"ESP32-C3-DevKitC-02","IC2","1","ESP32-C3-DevKitC-02","",""
"E22-900M30S","IC3","1","E22-900M30S","",""
"RL-6050","L1","1","RL-6050","22uH",""
"Res2","R1","1","RES0805","1K 1%","C416040"
"Res2","R2","1","RES0805","3K16 1%","C170878"
"Res2","R3","1","RES0805","0R","C2074219"
"Res2","R4","1","RES0805","0R","C2074219"
"Res2","R5","1","RES0805","0R","C2074219"
"Res2","R6","1","RES0805","0R","C2074219"
"Res2","R7","1","RES0805","0R","C2074219"
"Res2","R8","1","RES0805","0R","C2074219"
"Res2","R9","1","RES0805","0R","C2074219"
"Res2","R10","1","RES0805","0R","C2074219"
"Res2","R11","1","RES0805","470","C2074219"
"Res2","R12","1","RES0805","470","C2074219"
"Res2","R13","1","RES0805","0R","C2074219"
"Res2","R14","1","RES0805","0R","C2074219"
"Res2","R15","1","RES0805","10K","C2930231"
"Res2","R16","1","RES0805","DNP",""
"Res2","R17","1","RES0805","DNP",""
"Res2","RP","1","RES0805","0R","C2074219"
"Header 3","SENSORADC","1","1x3P","",""
"Header 6","SENSORSPI","1","1x6P","",""
"Header 3","UART","1","1x3P","",""
