Altium Designer Pick and Place Locations
C:\Users\Lenovo\Documents\Proyecto_Final\TrabajoFinal\Hardware\Project Outputs for CESE Projecto Final\Pick Place\Pick Place for PlacaPrincipal.csv

========================================================================================================================
File Design Information:

Date:       15-09-23
Time:       02:50
Revision:   4cb1ff1e474f31c4bcf41138914559b4ecd2dcab
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"R17","39.3035mm","73.9140mm","TopLayer","180"
"R16","45.2120mm","73.9140mm","TopLayer","180"
"R15","36.8300mm","91.4400mm","TopLayer","180"
"UART","30.7340mm","112.2680mm","TopLayer","180"
"IC3","59.9690mm","58.8660mm","TopLayer","270"
"ANT","33.7054mm","73.9140mm","TopLayer","90"
"RP","80.0100mm","114.3000mm","TopLayer","180"
"C8","80.5180mm","47.7520mm","TopLayer","270"
"SENSORSPI","89.9160mm","49.0220mm","TopLayer","270"
"SENSORADC","30.7340mm","101.6000mm","TopLayer","180"
"R14","43.9420mm","114.3000mm","TopLayer","180"
"R13","43.9420mm","111.7600mm","TopLayer","180"
"R12","43.9420mm","106.6800mm","TopLayer","180"
"R11","43.9420mm","104.1400mm","TopLayer","180"
"R10","43.9420mm","99.0600mm","TopLayer","180"
"R9","43.9420mm","91.4400mm","TopLayer","180"
"R8","43.9420mm","88.9000mm","TopLayer","180"
"R7","43.9420mm","86.3600mm","TopLayer","180"
"R6","80.0100mm","104.1400mm","TopLayer","180"
"R5","80.0100mm","101.6000mm","TopLayer","180"
"R4","80.0100mm","99.0600mm","TopLayer","180"
"R3","80.0100mm","96.5200mm","TopLayer","180"
"R2","103.1240mm","94.2340mm","TopLayer","180"
"R1","107.6960mm","91.9480mm","TopLayer","90"
"L1","112.7760mm","61.1378mm","TopLayer","270"
"IC2","61.4680mm","101.6000mm","TopLayer","180"
"IC1","109.5075mm","83.8200mm","TopLayer","180"
"D3","100.8380mm","71.5920mm","TopLayer","90"
"D2","98.8060mm","114.5540mm","TopLayer","270"
"D1","104.6480mm","114.5900mm","TopLayer","270"
"C10","36.3220mm","74.9140mm","TopLayer","270"
"C9","42.2577mm","74.9140mm","TopLayer","270"
"C7","103.1240mm","60.1980mm","TopLayer","270"
"C6","100.0760mm","60.1980mm","TopLayer","270"
"C5","97.2460mm","60.1980mm","TopLayer","270"
"C4","114.3000mm","75.1840mm","TopLayer","0"
"C3","95.2500mm","102.1080mm","TopLayer","270"
"C2","104.6480mm","102.1080mm","TopLayer","270"
"C1","114.3000mm","102.1080mm","TopLayer","270"
"ALEXT","115.5700mm","117.2910mm","TopLayer","0"
